price,city,locality_tier,area_sqft,bhk,bathrooms,floor,total_floors,parking,lift,east_facing,furnishing,property_age
2913758,Bangalore,Budget,397,1,1,14,24,0,1,1,Semi-Furnished,9
4465271,Noida,Mid,606,1,1,2,4,1,1,0,Semi-Furnished,14
20520693,Pune,Premium,1657,3,3,19,23,1,1,0,Fully Furnished,16
3242987,Hyderabad,Budget,621,1,1,1,9,1,1,1,Unfurnished,8
49465807,Mumbai,Mid,2458,5,5,11,12,1,1,0,Semi-Furnished,6
14747383,Mumbai,Mid,744,2,2,0,20,1,1,0,Semi-Furnished,6
21244790,Mumbai,Budget,1569,3,2,4,8,1,1,1,Semi-Furnished,5
3299981,Ahmedabad,Mid,484,1,1,16,17,1,1,0,Fully Furnished,9
12672167,Hyderabad,Mid,1382,3,3,3,8,1,1,1,Fully Furnished,10
12013235,Pune,Premium,933,2,2,4,9,1,1,0,Fully Furnished,7
8906541,Mumbai,Budget,672,1,1,4,6,0,0,1,Unfurnished,11
5954375,Noida,Mid,863,2,1,3,3,0,0,1,Unfurnished,6
5898812,Kolkata,Mid,1056,2,1,0,8,1,1,0,Unfurnished,8
33413408,Delhi,Mid,2526,5,4,1,24,1,1,1,Semi-Furnished,5
11831391,Delhi,Mid,957,2,2,5,14,1,1,0,Unfurnished,3
13976351,Delhi,Budget,1577,3,2,9,12,0,1,1,Semi-Furnished,12
37986058,Delhi,Mid,2695,5,4,4,10,0,1,0,Fully Furnished,9
10972666,Hyderabad,Mid,1464,3,2,0,5,0,1,1,Unfurnished,6
25201036,Bangalore,Mid,2470,5,4,0,3,0,0,1,Semi-Furnished,5
20805165,Delhi,Budget,2574,5,5,2,3,1,0,1,Unfurnished,8
11274737,Chennai,Mid,1610,3,2,0,2,1,0,1,Unfurnished,12
19017525,Mumbai,Budget,1484,3,3,4,10,0,1,0,Semi-Furnished,9
8262644,Delhi,Budget,963,2,2,14,15,1,1,0,Unfurnished,5
8110071,Bangalore,Mid,733,2,2,4,4,1,1,0,Semi-Furnished,11
18655813,Bangalore,Mid,1906,4,4,0,2,1,0,0,Unfurnished,5
12061934,Pune,Mid,1363,3,3,5,5,0,1,0,Fully Furnished,6
14574340,Delhi,Budget,1582,3,2,0,4,0,0,1,Fully Furnished,3
11540257,Hyderabad,Mid,1470,3,3,2,6,1,0,1,Unfurnished,2
7841202,Hyderabad,Mid,966,2,1,1,4,1,1,1,Unfurnished,8
23769963,Mumbai,Budget,1998,4,3,3,5,0,1,1,Unfurnished,8
12667773,Hyderabad,Mid,1395,3,3,8,20,0,1,1,Fully Furnished,4
21612406,Mumbai,Mid,1186,2,2,5,5,0,1,0,Unfurnished,5
44208714,Mumbai,Mid,2155,4,3,12,14,1,1,1,Semi-Furnished,9
12704353,Noida,Premium,1194,2,2,1,9,1,1,1,Fully Furnished,6
6649680,Noida,Budget,1582,3,3,3,5,1,1,1,Unfurnished,4
14350061,Kolkata,Premium,1496,3,3,5,15,1,1,0,Fully Furnished,9
14856744,Delhi,Mid,1193,2,1,1,9,1,1,0,Unfurnished,14
23174598,Mumbai,Budget,1918,4,3,2,2,1,0,0,Unfurnished,8
9995530,Chennai,Mid,1395,3,3,0,2,0,1,0,Unfurnished,9
6353963,Bangalore,Budget,927,2,2,5,12,1,0,1,Unfurnished,7
13406646,Mumbai,Budget,1062,2,2,1,6,1,1,1,Unfurnished,15
15930695,Hyderabad,Mid,1908,4,3,2,6,1,1,1,Semi-Furnished,7
11789822,Mumbai,Premium,481,1,1,1,3,0,0,0,Unfurnished,9
